Loaded 3382_T.npy: 4918 points
Loaded 4519_T.npy: 4918 points
Loaded 6501_T.npy: 4918 points
Loaded 6758_T.npy: 4918 points
Loaded 7203_T.npy: 4918 points
Loaded 7974_T.npy: 4918 points
Loaded 8306_T.npy: 4918 points
Loaded 9432_T.npy: 4918 points
Loaded 9984_T.npy: 4918 points
Loaded IDX_N225.npy: 4887 points
Total sliding windows: 1339
Train: 1005 samples, Val: 334 samples
Loading model from: model
Froze first 17 of 20 transformer layers
Total params: 231,289,280 | Trainable params: 64,081,360 (27.7%)
Using AdamW optimizer (lr=0.0001, weight_decay=0.01)
Gradient accumulation: 16 steps (effective batch = 128)
LR scheduler: cosine with 5-epoch warmup
  Epoch 13 step 70/126 | loss=0.013207 lr=8.99e-05
  Epoch 13 step 80/126 | loss=0.012131 lr=8.96e-05
  Epoch 13 step 90/126 | loss=0.013775 lr=8.96e-05
  Epoch 13 step 100/126 | loss=0.009657 lr=8.92e-05
  Epoch 13 step 110/126 | loss=0.007465 lr=8.92e-05
  Epoch 13 step 120/126 | loss=0.012947 lr=8.89e-05
Epoch 13 train | loss=0.010595
Epoch 13 val   | loss=0.017445
Updated best checkpoint at finetune_japan\checkpoints\run_glia_t2_r2a\best
  Epoch 14 step 10/126 | loss=0.024737 lr=8.86e-05
  Epoch 14 step 20/126 | loss=0.014825 lr=8.83e-05
  Epoch 14 step 30/126 | loss=0.008411 lr=8.83e-05
  Epoch 14 step 40/126 | loss=0.009426 lr=8.80e-05
  Epoch 14 step 50/126 | loss=0.011212 lr=8.77e-05
  Epoch 14 step 60/126 | loss=0.015572 lr=8.77e-05
  Epoch 14 step 70/126 | loss=0.006940 lr=8.73e-05
  Epoch 14 step 80/126 | loss=0.013941 lr=8.70e-05
  Epoch 14 step 90/126 | loss=0.009118 lr=8.70e-05
  Epoch 14 step 100/126 | loss=0.006730 lr=8.67e-05
  Epoch 14 step 110/126 | loss=0.006535 lr=8.67e-05
  Epoch 14 step 120/126 | loss=0.016086 lr=8.63e-05
Epoch 14 train | loss=0.009810
Epoch 14 val   | loss=0.017644
  Epoch 15 step 10/126 | loss=0.013570 lr=8.60e-05
  Epoch 15 step 20/126 | loss=0.011656 lr=8.56e-05
  Epoch 15 step 30/126 | loss=0.010483 lr=8.56e-05
  Epoch 15 step 40/126 | loss=0.015270 lr=8.53e-05
  Epoch 15 step 50/126 | loss=0.008175 lr=8.49e-05
  Epoch 15 step 60/126 | loss=0.007557 lr=8.49e-05
  Epoch 15 step 70/126 | loss=0.009796 lr=8.46e-05
  Epoch 15 step 80/126 | loss=0.005788 lr=8.42e-05
  Epoch 15 step 90/126 | loss=0.008502 lr=8.42e-05
  Epoch 15 step 100/126 | loss=0.003948 lr=8.38e-05
  Epoch 15 step 110/126 | loss=0.012771 lr=8.38e-05
  Epoch 15 step 120/126 | loss=0.006156 lr=8.35e-05
Epoch 15 train | loss=0.008904
Epoch 15 val   | loss=0.016626
Updated best checkpoint at finetune_japan\checkpoints\run_glia_t2_r2a\best
  Epoch 16 step 10/126 | loss=0.004195 lr=8.31e-05
  Epoch 16 step 20/126 | loss=0.004367 lr=8.27e-05
  Epoch 16 step 30/126 | loss=0.002865 lr=8.27e-05
  Epoch 16 step 40/126 | loss=0.004955 lr=8.23e-05
  Epoch 16 step 50/126 | loss=0.008013 lr=8.19e-05
  Epoch 16 step 60/126 | loss=0.043780 lr=8.19e-05
  Epoch 16 step 70/126 | loss=0.011981 lr=8.16e-05
  Epoch 16 step 80/126 | loss=0.005578 lr=8.12e-05
  Epoch 16 step 90/126 | loss=0.008682 lr=8.12e-05
  Epoch 16 step 100/126 | loss=0.008098 lr=8.08e-05
  Epoch 16 step 110/126 | loss=0.004783 lr=8.08e-05
  Epoch 16 step 120/126 | loss=0.008244 lr=8.04e-05
Epoch 16 train | loss=0.008520
Epoch 16 val   | loss=0.016193
Updated best checkpoint at finetune_japan\checkpoints\run_glia_t2_r2a\best
  Epoch 17 step 10/126 | loss=0.003573 lr=8.00e-05
  Epoch 17 step 20/126 | loss=0.008681 lr=7.96e-05
  Epoch 17 step 30/126 | loss=0.015990 lr=7.96e-05
  Epoch 17 step 40/126 | loss=0.007329 lr=7.92e-05
  Epoch 17 step 50/126 | loss=0.006736 lr=7.88e-05
  Epoch 17 step 60/126 | loss=0.005121 lr=7.88e-05
  Epoch 17 step 70/126 | loss=0.006676 lr=7.84e-05
  Epoch 17 step 80/126 | loss=0.007608 lr=7.80e-05
  Epoch 17 step 90/126 | loss=0.005463 lr=7.80e-05
  Epoch 17 step 100/126 | loss=0.009021 lr=7.75e-05
  Epoch 17 step 110/126 | loss=0.006366 lr=7.75e-05
  Epoch 17 step 120/126 | loss=0.003799 lr=7.71e-05
Epoch 17 train | loss=0.007668
Epoch 17 val   | loss=0.017878
  Epoch 18 step 10/126 | loss=0.007393 lr=7.67e-05
  Epoch 18 step 20/126 | loss=0.004710 lr=7.63e-05
  Epoch 18 step 30/126 | loss=0.004667 lr=7.63e-05
  Epoch 18 step 40/126 | loss=0.007610 lr=7.59e-05
  Epoch 18 step 50/126 | loss=0.003733 lr=7.54e-05
  Epoch 18 step 60/126 | loss=0.005795 lr=7.54e-05
  Epoch 18 step 70/126 | loss=0.009558 lr=7.50e-05
  Epoch 18 step 80/126 | loss=0.005602 lr=7.46e-05
  Epoch 18 step 90/126 | loss=0.009603 lr=7.46e-05
  Epoch 18 step 100/126 | loss=0.006370 lr=7.41e-05
  Epoch 18 step 110/126 | loss=0.006321 lr=7.41e-05
  Epoch 18 step 120/126 | loss=0.003631 lr=7.37e-05
Epoch 18 train | loss=0.007333
Epoch 18 val   | loss=0.015512
Updated best checkpoint at finetune_japan\checkpoints\run_glia_t2_r2a\best
  Epoch 19 step 10/126 | loss=0.003411 lr=7.33e-05
  Epoch 19 step 20/126 | loss=0.006235 lr=7.28e-05
  Epoch 19 step 30/126 | loss=0.005891 lr=7.28e-05
  Epoch 19 step 40/126 | loss=0.005631 lr=7.24e-05
  Epoch 19 step 50/126 | loss=0.003385 lr=7.19e-05
  Epoch 19 step 60/126 | loss=0.004759 lr=7.19e-05
  Epoch 19 step 70/126 | loss=0.007833 lr=7.15e-05
  Epoch 19 step 80/126 | loss=0.004427 lr=7.10e-05
  Epoch 19 step 90/126 | loss=0.006138 lr=7.10e-05
  Epoch 19 step 100/126 | loss=0.008384 lr=7.06e-05
  Epoch 19 step 110/126 | loss=0.004420 lr=7.06e-05
  Epoch 19 step 120/126 | loss=0.005994 lr=7.01e-05
Epoch 19 train | loss=0.006896
Epoch 19 val   | loss=0.015224
Updated best checkpoint at finetune_japan\checkpoints\run_glia_t2_r2a\best
  Epoch 20 step 10/126 | loss=0.004626 lr=6.97e-05
  Epoch 20 step 20/126 | loss=0.004437 lr=6.92e-05
  Epoch 20 step 30/126 | loss=0.006310 lr=6.92e-05
  Epoch 20 step 40/126 | loss=0.006687 lr=6.87e-05
  Epoch 20 step 50/126 | loss=0.006585 lr=6.83e-05
  Epoch 20 step 60/126 | loss=0.005108 lr=6.83e-05
  Epoch 20 step 70/126 | loss=0.007133 lr=6.78e-05
  Epoch 20 step 80/126 | loss=0.006087 lr=6.73e-05
  Epoch 20 step 90/126 | loss=0.005144 lr=6.73e-05
  Epoch 20 step 100/126 | loss=0.005370 lr=6.69e-05
  Epoch 20 step 110/126 | loss=0.009217 lr=6.69e-05
  Epoch 20 step 120/126 | loss=0.004756 lr=6.64e-05
Epoch 20 train | loss=0.006390
Epoch 20 val   | loss=0.016466
  Epoch 21 step 10/126 | loss=0.009076 lr=6.59e-05
  Epoch 21 step 20/126 | loss=0.003929 lr=6.55e-05
  Epoch 21 step 30/126 | loss=0.006122 lr=6.55e-05
  Epoch 21 step 40/126 | loss=0.008066 lr=6.50e-05
  Epoch 21 step 50/126 | loss=0.006982 lr=6.45e-05
  Epoch 21 step 60/126 | loss=0.007104 lr=6.45e-05
  Epoch 21 step 70/126 | loss=0.004411 lr=6.40e-05
  Epoch 21 step 80/126 | loss=0.005210 lr=6.35e-05
  Epoch 21 step 90/126 | loss=0.002499 lr=6.35e-05
  Epoch 21 step 100/126 | loss=0.004630 lr=6.31e-05
  Epoch 21 step 110/126 | loss=0.006055 lr=6.31e-05
  Epoch 21 step 120/126 | loss=0.005748 lr=6.26e-05
Epoch 21 train | loss=0.006121
Epoch 21 val   | loss=0.015794
  Epoch 22 step 10/126 | loss=0.006486 lr=6.21e-05
